"Profile","Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"IngredientBR","Ingredient.status","Ingredient.status","","","",1,1,"","Y","Y","code {[]} {[]}
","Status do recurso","Status do recurso (draft, active, retired)","Allows filtering of ingredient that are appropriate for use versus not.","","","","","","","","",,"required","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/publication-status","",,,,"Ingredient.status",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.for","Ingredient.for","","","",1,*,"Y","","Y","Reference {[]} {[CanonicalType[https://idmp-br.github.io/brig-idmp-brasil/StructureDefinition/medicinal-product-definition-br], CanonicalType[https://idmp-br.github.io/brig-idmp-brasil/StructureDefinition/administrable-product-definition-br], CanonicalType[https://idmp-br.github.io/brig-idmp-brasil/StructureDefinition/manufactured-item-definition-br]]}
","Produto ao qual o ingrediente pertence","Referência ao produto, produto administrável ou item manufaturado","","","","","","","","","",,,,,"",,,,"Ingredient.for",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.role","Ingredient.role","","","",1,1,"Y","","Y","CodeableConcept {[]} {[]}
","Papel do ingrediente","Papel funcional do ingrediente (ativo, excipiente, conservante, etc.)","","","","","","","","","",,"example","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/ingredient-role","",,,,"Ingredient.role",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.function","Ingredient.function","","","",0,*,"","","Y","CodeableConcept {[]} {[]}
","Função específica","Função farmacotécnica específica do ingrediente","","","","","","","","","",,"example","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/ingredient-function","",,,,"Ingredient.function",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.group","Ingredient.group","","","",0,1,"","","Y","CodeableConcept {[]} {[]}
","A classification of the ingredient according to where in the physical item it tends to be used, such the outer shell of a tablet, inner body or ink","A classification of the ingredient according to where in the physical item it tends to be used, such the outer shell of a tablet, inner body or ink.","","","","","","","","","",,,,,"",,,,"Ingredient.group",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.allergenicIndicator","Ingredient.allergenicIndicator","","","",0,1,"Y","","Y","boolean {[]} {[]}
","Indicador de alergenicidade","Indica se o ingrediente é conhecido por causar alergias","","","","If this value is not present, there is no statement being made about whether this is an allergen or not. No inference can be made","","","","","",,,,,"",,,,"Ingredient.allergenicIndicator",0,1,"ing-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.comment","Ingredient.comment","","","",0,1,"","","","markdown {[]} {[]}
","A place for providing any notes that are relevant to the component, e.g. removed during process, adjusted for loss on drying","A place for providing any notes that are relevant to the component, e.g. removed during process, adjusted for loss on drying.","","","","","","","","","",,,,,"",,,,"Ingredient.comment",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.manufacturer","Ingredient.manufacturer","","","",0,*,"Y","","Y","BackboneElement {[]} {[]}
","Fabricante do ingrediente","Organização(ões) que fabrica(m) o ingrediente","","","","","","","","","",,,,,"",,,,"Ingredient.manufacturer",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.manufacturer.id","Ingredient.manufacturer.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IngredientBR","Ingredient.manufacturer.extension","Ingredient.manufacturer.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.manufacturer.modifierExtension","Ingredient.manufacturer.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.manufacturer.role","Ingredient.manufacturer.role","","","",0,1,"","","Y","code {[]} {[]}
","allowed | possible | actual","The way in which this manufacturer is associated with the ingredient. For example whether it is a possible one (others allowed), or an exclusive authorized one for this ingredient. Note that this is not the manufacturing process role.","","","","","","","","","",,"required","The way in which this manufacturer is associated with the ingredient.","http://hl7.org/fhir/ValueSet/ingredient-manufacturer-role|5.0.0","",,,,"Ingredient.manufacturer.role",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.manufacturer.manufacturer","Ingredient.manufacturer.manufacturer","","","",1,1,"","","Y","Reference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/Organization|5.0.0]]}
","An organization that manufactures this ingredient","An organization that manufactures this ingredient.","","","","","","","","","",,,,,"",,,,"Ingredient.manufacturer.manufacturer",1,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance","Ingredient.substance","","","",1,1,"Y","","Y","BackboneElement {[]} {[]}
","Substância química","Informações sobre a substância química do ingrediente","","","","","","","","","",,,,,"",,,,"Ingredient.substance",1,1,"ing-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.id","Ingredient.substance.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IngredientBR","Ingredient.substance.extension","Ingredient.substance.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.modifierExtension","Ingredient.substance.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.code","Ingredient.substance.code","","","",1,1,"","","Y","CodeableReference {[]} {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SubstanceDefinition|5.0.0]]}
","Código ou referência para SubstanceDefinition","Código identificador da substância (MedDRA, ATC, DCB)","","","","","","","","","",,"example","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/substance-code-meddra","",,,,"Ingredient.substance.code",1,1,"ing-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.code.id","Ingredient.substance.code.id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IngredientBR","Ingredient.substance.code.extension","Ingredient.substance.code.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.code.concept","Ingredient.substance.code.concept","","","",0,1,"Y","","Y","CodeableConcept {[]} {[]}
","Conceito codificado da substância","A reference to a concept - e.g. the information is identified by its general class to the degree of precision found in the terminology.","","","","","","","","","",,,,,"",,,,"CodeableReference.concept",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.code.reference","Ingredient.substance.code.reference","","","",0,1,"","","Y","Reference {[]} {[]}
","Reference to a resource (by instance)","A reference to a resource the provides exact details about the information being referenced.","","","","","","","","","",,,,,"",,,,"CodeableReference.reference",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength","Ingredient.substance.strength","","","",0,*,"Y","","Y","BackboneElement {[]} {[]}
","Concentração do ingrediente","Concentração ou quantidade do ingrediente","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.id","Ingredient.substance.strength.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IngredientBR","Ingredient.substance.strength.extension","Ingredient.substance.strength.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"",,,,"Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.strength.modifierExtension","Ingredient.substance.strength.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R5/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.strength.presentation[x]","Ingredient.substance.strength.presentation[x]","","","",0,1,"","","Y","Ratio {[]} {[]}
RatioRange {[]} {[]}CodeableConcept {[]} {[]}Quantity {[]} {[]}","The quantity of substance in the unit of presentation","The quantity of substance in the unit of presentation, or in the volume (or mass) of the single pharmaceutical product or manufactured item. Unit of presentation refers to the quantity that the item occurs in e.g. a strength per tablet size, perhaps 'per 20mg' (the size of the tablet). It is not generally normalized as a unitary unit, which would be 'per mg').","","","","","","","","","",,,,,"","type:$this}
","",,"open","Ingredient.substance.strength.presentation[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.presentation[x]:presentationRatio","Ingredient.substance.strength.presentation[x]","presentationRatio","","",0,1,"Y","","Y","Ratio {[]} {[]}
","Quantidade por unidade","Quantidade por unidade de apresentação (ex: 500 mg/comprimido)","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.presentation[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.presentation[x]:presentationRatio.id","Ingredient.substance.strength.presentation[x].id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
"IngredientBR","Ingredient.substance.strength.presentation[x]:presentationRatio.extension","Ingredient.substance.strength.presentation[x].extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and managable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"IngredientBR","Ingredient.substance.strength.presentation[x]:presentationRatio.numerator","Ingredient.substance.strength.presentation[x].numerator","","","",0,1,"","","Y","Quantity {[]} {[]}
","Numerador da apresentação","The value of the numerator.","","","","","","","","","",,"example","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/presentation-unit","",,,,"Ratio.numerator",0,1,"rat-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.presentation[x]:presentationRatio.denominator","Ingredient.substance.strength.presentation[x].denominator","","","",0,1,"","","Y","Quantity {[CanonicalType[http://hl7.org/fhir/StructureDefinition/SimpleQuantity|5.0.0]]} {[]}
","Denominador da apresentação","The value of the denominator.","","","","","","","","","",,"example","","https://idmp-br.github.io/brig-idmp-brasil/ValueSet/presentation-unit","",,,,"Ratio.denominator",0,1,"rat-1
","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.textPresentation","Ingredient.substance.strength.textPresentation","","","",0,1,"","","Y","string {[]} {[]}
","Text of either the whole presentation strength or a part of it (rest being in Strength.presentation as a ratio)","A textual represention of either the whole of the presentation strength or a part of it - with the rest being in Strength.presentation as a ratio.","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.textPresentation",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.concentration[x]","Ingredient.substance.strength.concentration[x]","","","",0,1,"","","Y","Ratio {[]} {[]}
RatioRange {[]} {[]}CodeableConcept {[]} {[]}Quantity {[]} {[]}","The strength per unitary volume (or mass)","The strength per unitary volume (or mass).","","","","","","","","","",,,,,"","type:$this}
","",,"open","Ingredient.substance.strength.concentration[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.concentration[x]:concentrationRatio","Ingredient.substance.strength.concentration[x]","concentrationRatio","","",0,1,"Y","","Y","Ratio {[]} {[]}
","Concentração (razão)","Concentração expressa como razão (ex: mg/mL)","","","","","","","","","",,,,,"",,,,"Ingredient.substance.strength.concentration[x]",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"IngredientBR","Ingredient.substance.strength.concentration[x]:concentrationRatio.id","Ingredient.substance.strength.concentration[x].id","","","",0,1,"","","","id {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"ele-1
",""
